train_loss,train_acc,val_loss,val_acc
1.7393675762430494,52.86390339425587,1.8521664465467136,64.01564537157758
1.579125710318045,61.635117493472585,1.7797359091540177,68.1877444589309
1.5069475401163723,64.27872062663185,1.770865270247062,69.71968709256845
1.4612298424187902,66.93048302872063,1.7648733338962,69.6219035202086
1.424072538903737,67.84432114882506,1.7824730320523183,67.86179921773142
1.3837299407617853,69.82702349869452,1.7483174490431945,70.4367666232073
1.3280981313777656,72.03002610966057,1.7704851683229208,70.27379400260756
1.3548699580035695,71.2467362924282,1.7708943362037342,68.83963494132986
1.3242665583720095,71.77708877284596,1.7684063414732616,69.88265971316818
1.3015098707171706,72.96834203655352,1.747083733479182,71.57757496740548
1.2730288841705721,74.44516971279373,1.7467723153531551,72.19687092568448
1.2440888841220668,76.07702349869452,1.774205420166254,70.69752281616688
1.195557200255033,77.31723237597912,1.7663406853874524,71.67535853976531
1.1716551651531348,78.48400783289817,1.7447484868268173,71.9361147327249
1.1602772363794691,78.9735639686684,1.7423433251678944,72.78357235984355
1.1783477763594286,77.84758485639686,1.760513262823224,72.16427640156454
1.1686853518996476,78.40241514360314,1.7513080301384132,72.84876140808345
1.1502973305027417,79.38968668407311,1.7561873036126296,71.21903520208605
1.130655162328217,80.48302872062663,1.7894078188886244,70.92568448500651
1.1090074318507321,81.40502610966057,1.7602011188864708,72.09908735332463
1.0892786631073714,82.9144908616188,1.7434243621925514,73.07692307692308
1.0661720932308127,83.78753263707571,1.7512159285446007,73.17470664928292
1.0528740023819647,83.9670365535248,1.7741406025985877,72.06649282920469
1.044955247376046,84.77480417754569,1.7480137168119352,73.23989569752281
1.0380196339467798,84.76664490861619,1.7544753812253475,72.94654498044329
1.0277080414500623,85.411227154047,1.7423682038982709,74.21773142112126
1.0294658180627747,85.39490861618799,1.7181308915217717,74.57627118644068
1.0193349852885651,85.99053524804178,1.7451029134293397,73.40286831812256
1.0196044168024088,86.05580939947781,1.730424075697859,74.05475880052151
1.0091282048362353,87.00228459530027,1.7210497483611107,74.80443285528031
